id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
53614554,Margaritaville Downtown Nashville - Studio Condo,410019817,Allison,,District 19,36.15591,-86.77495,Entire home/apt,,7,1,2022-06-06,0.04,1,90,0,
53623359,2 BR Suite by the Grand Ole Opry Nashville!,395131057,Trevor,,District 15,36.21829,-86.70319,Entire home/apt,161,3,11,2024-07-24,0.36,3,18,3,
53626759,Downtown Nashville Cute & Cosy Condo,83323910,Rebecca,,District 19,36.17296,-86.78118,Entire home/apt,163,2,5,2023-05-03,0.17,8,293,0,
53627215,Downtown Nashville Condo In The Heart of Nashville,83323910,Rebecca,,District 19,36.17382,-86.78189,Entire home/apt,163,2,2,2023-10-09,0.06,8,300,1,
53631163,The Instrument,58648367,Southern Sky Vacation Rentals,,District 20,36.16169,-86.86116,Entire home/apt,284,2,54,2024-07-20,1.62,6,351,17,
53631444,The Song - The Music City Collection,58648367,Southern Sky Vacation Rentals,,District 20,36.16363,-86.86131,Entire home/apt,325,2,60,2024-07-21,1.81,6,343,11,
53631664,The Artist,58648367,Southern Sky Vacation Rentals,,District 20,36.163,-86.85991,Entire home/apt,311,2,58,2024-09-03,1.76,6,354,17,
53632851,Clean Private Room,266863810,Thomas,,District 31,36.04886,-86.67789,Private room,,30,3,2023-06-21,0.12,1,0,0,
53641485,Downtown Nashville. Covered Complimentary Parking!,83323910,Rebecca,,District 19,36.17399,-86.78207,Entire home/apt,,2,11,2024-02-24,0.35,8,313,3,
53643359,The Everett - Cozy Townhome in West Nashville,85360355,StayLocal,,District 20,36.16399,-86.85777,Entire home/apt,2695,31,9,2024-07-05,0.29,114,276,2,
53646613,Downtown Nashville Condo w/ Complimentary Parking,83323910,Rebecca,,District 19,36.17343,-86.78035,Entire home/apt,,2,13,2024-03-27,0.40,8,321,3,
53648354,Hart Suite 1 by AvantStay | Nashville Town House,338667310,AvantStay Nashville,,District 17,36.142036,-86.761917,Entire home/apt,200,1,14,2024-03-07,0.41,159,322,4,2019064158
53660233,Hart Suite 10 by AvantStay | Nashville Town House,338667310,AvantStay Nashville,,District 17,36.142139,-86.761688,Entire home/apt,182,1,12,2024-08-04,0.36,159,328,2,2019064192
53660466,Hart Suite 11 by AvantStay | 2mi to DT Nashville!,338667310,AvantStay Nashville,,District 17,36.142014,-86.761673,Entire home/apt,191,1,15,2023-04-20,0.46,159,325,0,2019064126
53660785,Hart Suite 12 by AvantStay | 2mi to DT Nashville!,338667310,AvantStay Nashville,,District 17,36.142014,-86.761673,Entire home/apt,187,1,23,2024-06-11,0.70,159,329,2,2019064139
53660918,Hart Suite 13 by AvantStay | 2mi to DT Nashville!,338667310,AvantStay Nashville,,District 17,36.142014,-86.761673,Entire home/apt,215,1,34,2024-08-03,1.04,159,314,3,2019064143
53660979,Hart Suite 14 by AvantStay | 10mins to Broadway!,338667310,AvantStay Nashville,,District 17,36.142014,-86.761673,Entire home/apt,290,1,25,2024-06-05,0.75,159,311,4,2019064144
53661020,Hart Suite 15 by AvantStay | Music City Escape,338667310,AvantStay Nashville,,District 17,36.142014,-86.761673,Entire home/apt,200,1,18,2024-04-17,0.57,159,332,1,2019064147
